HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
2863,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Capybara,456,456,150,103,4.8,1.25,245,1500,8299,55000,,15.1,671,captivity,large,high,,,36.754,26385,310.25,"36,420,434,455,610,600,000,000,000,000"
1690,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,strenua,Powerful owl,,,,,,,,,,1324.93,,6.1,1305,wild,small,questionable,,,,,,"13,051,308"
2885,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,auratus,Golden hamster,48,48,16,20,9,3,,2.45,22.93,105,0.0574,3.9,671,captivity,medium,acceptable,,,0.69,108.2,311.25,"361,892,572,582,592,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3083,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,Rat,90,70,21,,9.9,3.7,,5.81,,300,,3.8,857,captivity,large,acceptable,0.002,0.3,1.404,206.9,310.25,"1,2,36,117,119,121,174,188,189,378,434,436,441,455,511,607,610,680,707,715,776,777,851,857,858,915,960,962,981,1067,1103,1136,1334,1342"
4462,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,Pink salmon,730,730,,,,,,,,3740,,3,1,wild,medium,acceptable,,,,,,"1,2,14,454"
3236,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Condylura,cristata,Star-nosed mole,304,304,40,24,4.4,1,,1.5,30,55.3,,2.5,671,captivity,small,questionable,,,0.615,49,310.85,"36,420,455,538,542,600,000,000,000"
97,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog,365,365,,,,,,,,,,2,1060,wild,small,questionable,,,,,,1060
4057,Animalia,Chordata,Teleostei,Gasterosteiformes,Syngnathidae,Hippocampus,zosterae,Dwarf seahorse,118,118,,,,,,,,,,1,454,wild,medium,acceptable,,,,,,454
1310,Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera,lunulata,Bassian thrush,,,,,,,,,,129.5,,0.6,1305,wild,tiny,acceptable,,,,,,"13,051,308"
11,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7,7,,,,,,,,,,0.3,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150"
16,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,terrestris,Buff tailed bumblebee,,,,,,,,,,,,0.27,1444,captivity,small,acceptable,,,,,,1444
