HAGRID,Kingdom,Phylum,Class,Order,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Adult weight (g),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,Temperature (K)
2180,Animalia,Chordata,Mammalia,Carnivora,European otter,548,548,61,2,1,365,110.5,6750,18.2,captivity,medium,acceptable,311.25
2184,Animalia,Chordata,Mammalia,Carnivora,Beech marten,548,730,30,3.5,1,365,30,1700,18.2,captivity,small,acceptable,
2185,Animalia,Chordata,Mammalia,Carnivora,European pine marten,456,426,28,4,1,365,30,1300,18.2,captivity,small,acceptable,310.15
3562,Animalia,Chordata,Reptilia,Squamata,Gidgee skink,,,,,,,,198.76,18.2,captivity,medium,acceptable,
533,Animalia,Chordata,Aves,Charadriiformes,Common snipe,365,365,19,4,,,11,131.6,18.2,wild,medium,acceptable,
2775,Animalia,Chordata,Mammalia,Primates,Gray mouse lemur,243,243,61,2,1,73,6,64.8,18.2,captivity,medium,acceptable,
1571,Animalia,Chordata,Aves,Psittaciformes,Black-winged lory,,,,,,,,167,18.1,captivity,tiny,acceptable,
1305,Animalia,Chordata,Aves,Passeriformes,Fieldfare,365,365,,,,,,106,18.1,wild,medium,acceptable,
1802,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Southern stingray,2008,,,4.2,,365,,74580,18,wild,medium,acceptable,
4023,Animalia,Chordata,Teleostei,Gadiformes,Pacific cod,1514,,,,,,,12485,18,wild,medium,acceptable,
3539,Animalia,Chordata,Reptilia,Squamata,D'albert's python,,,66,,,,,8133.5,18,captivity,small,acceptable,
4229,Animalia,Chordata,Teleostei,Perciformes,Caribbean red snapper,2008,2008,,,,,,5500,18,wild,medium,acceptable,
4219,Animalia,Chordata,Teleostei,Perciformes,Mangrove jack,1825,1460,,,,,,4785,18,wild,medium,acceptable,
4236,Animalia,Chordata,Teleostei,Perciformes,Crimson jobfish,,,,,,,,4484.7,18,wild,medium,acceptable,
4341,Animalia,Chordata,Teleostei,Perciformes,Spotted seatrout,,,,,,,,4356,18,wild,medium,acceptable,
2599,Animalia,Chordata,Mammalia,Lagomorpha,Mountain hare,266,,50,2,2.1,50,107.93,4175,18,wild,medium,acceptable,312.85
2944,Animalia,Chordata,Mammalia,Rodentia,Black agouti,,,,,,,,3500,18,captivity,small,acceptable,
4405,Animalia,Chordata,Teleostei,Perciformes,Ocean pout,,,,,,,,2989.8,18,wild,medium,acceptable,
696,Animalia,Chordata,Aves,Galliformes,Western capercaillie,1095,1095,,,,,,2950,18,captivity,medium,acceptable,
1884,Animalia,Chordata,Holostei,Lepisosteiformes,Spotted gar,,,,,,,,2442,18,wild,medium,acceptable,
1718,Animalia,Chordata,Aves,Suliformes,Brandt's cormorant,730,730,30,3,1,,33,2426,18,wild,medium,acceptable,
3605,Animalia,Chordata,Reptilia,Squamata,Gaboon viper,,,,,,,,2381,18,captivity,medium,acceptable,
4479,Animalia,Chordata,Teleostei,Salmoniformes,Arctic grayling,,,,,,,,2103.25,18,wild,medium,acceptable,
4314,Animalia,Chordata,Teleostei,Perciformes,Sauger,730,730,20,,,,,2000,18,wild,medium,acceptable,
4355,Animalia,Chordata,Teleostei,Perciformes,Chub mackerel,821,821,,,,,,1595,18,wild,medium,acceptable,
1726,Animalia,Chordata,Aves,Suliformes,Blue-footed booby,1090,,41,2,,,,1530,18,wild,medium,acceptable,
328,Animalia,Chordata,Aves,Anseriformes,Barrow's goldeneye,730,730,29,11,1,,,957.15,18,wild,medium,acceptable,
4117,Animalia,Chordata,Teleostei,Perciformes,Rock bass,,,,,,,,824,18,unknown,medium,acceptable,
4543,Animalia,Chordata,Teleostei,Scorpaeniformes,Flag rockfish,,,,,,,,797.5,18,wild,medium,acceptable,
1392,Animalia,Chordata,Aves,Pelecaniformes,Puna ibis,,,,,,,,584,18,captivity,medium,acceptable,
1085,Animalia,Chordata,Aves,Passeriformes,Green figbird (hang-nest),,,,,,,,121.5,18,captivity,medium,acceptable,
2348,Animalia,Chordata,Mammalia,Chiroptera,Greater spear-nosed bat,730,730,120,1,1,,15.9,81,18,wild,medium,acceptable,307.85
960,Animalia,Chordata,Aves,Passeriformes,Yellow-headed blackbird,289,,12,4,1,,3.3,75.75,18,unknown,medium,acceptable,
1631,Animalia,Chordata,Aves,Psittaciformes,Hooded parrot,545,,,,,,,55,18,captivity,small,acceptable,
1491,Animalia,Chordata,Aves,Psittaciformes,Red-headed lovebird,363,,,,,,,43,18,captivity,small,acceptable,
1096,Animalia,Chordata,Aves,Passeriformes,Australian golden whistler,,,,,,,,32.7,18,wild,large,acceptable,
1183,Animalia,Chordata,Aves,Passeriformes,Savannah sparrow,365,365,12,4,1,,1.7,20.2,18,captivity,medium,acceptable,
1218,Animalia,Chordata,Aves,Passeriformes,White-faced robin,,,,,,,,15.975,18,wild,medium,acceptable,
1943,Animalia,Chordata,Mammalia,Artiodactyla,Cuvier's gazelle,349,180,171,1.5,,274,,17500,17.9,captivity,medium,acceptable,
1931,Animalia,Chordata,Mammalia,Artiodactyla,Black-fronted duiker,,,,,,,,13900,17.9,captivity,small,acceptable,
1385,Animalia,Chordata,Aves,Pelecaniformes,African spoonbill,,,,,,,,1521,17.9,captivity,small,acceptable,
2134,Animalia,Chordata,Mammalia,Carnivora,Rusty-spotted cat,,,68,2.5,,,,1350,17.9,captivity,medium,acceptable,
1035,Animalia,Chordata,Aves,Passeriformes,Superb lyrebird,,,,,,,,979.95,17.9,wild,medium,acceptable,
421,Animalia,Chordata,Aves,Charadriiformes,Eurasian thick-knee,727,,,,,,,459,17.9,wild,medium,acceptable,
401,Animalia,Chordata,Aves,Caprimulgiformes,Tawny frogmouth,,,,,,,,349,17.9,wild,medium,acceptable,
833,Animalia,Chordata,Aves,Passeriformes,Eurasian jay,365,365,,,,,,159.7,17.9,wild,medium,acceptable,
607,Animalia,Chordata,Aves,Columbiformes,Eurasian collared-dove,365,365,15,2,4.5,,,157.4,17.9,captivity,medium,acceptable,
1530,Animalia,Chordata,Aves,Psittaciformes,Port Lincoln ringneck,363,,,,,,,150,17.9,captivity,small,acceptable,
838,Animalia,Chordata,Aves,Passeriformes,Siberian jay,,,,,,,,84.4,17.9,wild,medium,acceptable,
1036,Animalia,Chordata,Aves,Passeriformes,Gray catbird,365,365,13,4,2,,,34.5,17.9,wild,large,acceptable,
2015,Animalia,Chordata,Mammalia,Artiodactyla,Bawean deer,304,,227,1.2,1.3,,,55000,17.8,captivity,small,acceptable,
2945,Animalia,Chordata,Mammalia,Rodentia,"Red-rumped agouti, or Agouti",193,,112,1,,,,3265,17.8,captivity,large,high,311.45
1717,Animalia,Chordata,Aves,Suliformes,Pelagic cormorant,730,730,22,4,,,35,2041.2,17.8,wild,small,acceptable,
2152,Animalia,Chordata,Mammalia,Carnivora,Ruddy mongoose,,,,2.5,,,,1702.5,17.8,captivity,small,acceptable,
3789,Animalia,Chordata,Reptilia,Testudines,Indian flapshell turtle,,,,,,,,1444.5,17.8,captivity,medium,acceptable,
2182,Animalia,Chordata,Mammalia,Carnivora,American marten,365,365,28,3,1,365,30,884,17.8,captivity,tiny,acceptable,311.15
3394,Animalia,Chordata,Reptilia,Squamata,Western terrestrial garter snake,,,,,,,,400,17.8,captivity,tiny,acceptable,
1260,Animalia,Chordata,Aves,Passeriformes,Long-tailed glossy starling,,,,,,,,121,17.8,captivity,medium,acceptable,
2554,Animalia,Chordata,Mammalia,Diprotodontia,Sugar glider,236,456,16,2,1.3,311,0.194,110,17.8,captivity,large,high,309.05
1660,Animalia,Chordata,Aves,Psittaciformes,Mindanao lorikeet,,,,,,,,55.2,17.8,captivity,small,acceptable,
1047,Animalia,Chordata,Aves,Passeriformes,Elepaio,365,365,,2,,,,15,17.8,wild,medium,acceptable,
1674,Animalia,Chordata,Aves,Sphenisciformes,Galapagos penguin,,,,,,,,1932.5,17.7,wild,large,acceptable,
591,Animalia,Chordata,Aves,Columbiformes,Common wood-pigeon,365,365,,,,,,490,17.7,wild,medium,acceptable,
1365,Animalia,Chordata,Aves,Pelecaniformes,Tricolored heron,669,669,21,4,1,,,309.9,17.7,wild,small,acceptable,
1304,Animalia,Chordata,Aves,Passeriformes,Song thrush,365,365,,,,,,67.8,17.7,wild,medium,acceptable,
952,Animalia,Chordata,Aves,Passeriformes,Orchard oriole,365,,13,5,1,,,21,17.7,captivity,medium,acceptable,
1992,Animalia,Chordata,Mammalia,Artiodactyla,Chamois,674,669,122,1,1,365,2400,37500,17.6,captivity,medium,acceptable,
1964,Animalia,Chordata,Mammalia,Artiodactyla,Goral,500,500,215,1,1,365,2000,31750,17.6,captivity,small,acceptable,
2814,Animalia,Chordata,Mammalia,Primates,Greater bamboo lemur,,,142,1,1,,,1737.5,17.6,captivity,small,acceptable,
1401,Animalia,Chordata,Aves,Phaethontiformes,Red-billed tropicbird,,,44,1,,,,750,17.6,wild,medium,acceptable,
809,Animalia,Chordata,Aves,Passeriformes,White-winged chough,,,,,,,,364,17.6,wild,medium,acceptable,
2682,Animalia,Chordata,Mammalia,Primates,Geoffroy's marmoset,477,382,144,,,,,342,17.6,captivity,large,acceptable,
3443,Animalia,Chordata,Reptilia,Squamata,Western coral snake,,,,,,,,56,17.6,captivity,small,acceptable,
1002,Animalia,Chordata,Aves,Passeriformes,Fuscous honeyeater,,,,,,,,17.8,17.6,wild,large,acceptable,
751,Animalia,Chordata,Aves,Passeriformes,White-browed scrubwren,365,365,,,,,,13.4,17.6,wild,large,acceptable,
736,Animalia,Chordata,Aves,Passeriformes,Brown thornbill,,,,,,,,7.6,17.6,wild,large,acceptable,
2018,Animalia,Chordata,Mammalia,Artiodactyla,Western roe deer,413,655,153,1.6,1,365,1010,21666.7,17.5,captivity,medium,acceptable,311.15
1927,Animalia,Chordata,Mammalia,Artiodactyla,Bay duiker,578,,236,1,,,1610,11600,17.5,captivity,small,acceptable,
1960,Animalia,Chordata,Mammalia,Artiodactyla,Gunther's dik-dik,139,,178,1,2,,681.67,4550,17.5,captivity,small,acceptable,310.95
3387,Animalia,Chordata,Reptilia,Squamata,Tropical rat snake,,,,,,,,3983,17.5,captivity,medium,acceptable,
1555,Animalia,Chordata,Aves,Psittaciformes,Black lory,,,,,,,,260,17.5,captivity,small,acceptable,
1439,Animalia,Chordata,Aves,Podicipediformes,Little grebe,365,365,,,,,,174,17.5,wild,medium,acceptable,
1675,Animalia,Chordata,Aves,Strigiformes,Northern saw-whet owl,365,365,27,5.5,1,,7.5,117.9,17.5,unknown,medium,acceptable,
914,Animalia,Chordata,Aves,Passeriformes,Eurasian bullfinch,365,365,,,,,,24.4,17.5,wild,medium,acceptable,
1998,Animalia,Chordata,Mammalia,Artiodactyla,Four-horned antelope,365,,212,1.5,,316,1044,19000,17.4,captivity,small,acceptable,
3141,Animalia,Chordata,Mammalia,Rodentia,Alpine marmot,730,730,35,4,1,914,30,3500,17.4,captivity,medium,acceptable,
2156,Animalia,Chordata,Mammalia,Carnivora,Banded mongoose,289,,60,2.5,2,365,39,1331.5,17.4,captivity,large,high,
3590,Animalia,Chordata,Reptilia,Squamata,"Indian monitor lizard, or Indian monitor",578,522,,,,,,1287,17.4,captivity,medium,acceptable,
3434,Animalia,Chordata,Reptilia,Squamata,Indian krait,,,,,,,,1154,17.4,captivity,tiny,acceptable,
2777,Animalia,Chordata,Mammalia,Primates,Giant mouse lemur,312,275,89,1.8,1,365,14.8,311.2,17.4,captivity,small,acceptable,
836,Animalia,Chordata,Aves,Passeriformes,Clark's nutcracker,365,365,18,2.5,1,,7.1,130,17.4,wild,small,acceptable,
1950,Animalia,Chordata,Mammalia,Artiodactyla,Nilgiri tahr,669,,188,1.3,,246,,75000,17.3,captivity,small,acceptable,
1959,Animalia,Chordata,Mammalia,Artiodactyla,Gerenuk,359,,204,1,,241,,43500,17.3,captivity,medium,acceptable,
2203,Animalia,Chordata,Mammalia,Carnivora,Giant otter,730,,68,1.5,1,365,204.25,24000,17.3,captivity,small,acceptable,
1961,Animalia,Chordata,Mammalia,Artiodactyla,Kirk's dik-dik,213,304,172,1,2,244,600,5000,17.3,captivity,medium,acceptable,312.15
242,Animalia,Chordata,Aves,Accipitriformes,Short-toed eagle,1095,1095,,,,,,1699.5,17.3,wild,medium,acceptable,
601,Animalia,Chordata,Aves,Columbiformes,Crested pigeon,,,,,,,,204.5,17.3,wild,large,acceptable,
2014,Animalia,Chordata,Mammalia,Artiodactyla,Calamian deer,304,,224,2,,,,40500,17.2,captivity,medium,acceptable,
2135,Animalia,Chordata,Mammalia,Carnivora,Fishing cat,,,72,2,,,170,10650,17.2,captivity,medium,acceptable,
649,Animalia,Chordata,Aves,Falconiformes,Prairie falcon,365,365,31,4,1,,30.6,858,17.2,wild,medium,acceptable,
3507,Animalia,Chordata,Reptilia,Squamata,Spiny chuckwalla,,,,,,,,811.7,17.2,captivity,small,acceptable,
2865,Animalia,Chordata,Mammalia,Rodentia,Long-tailed chinchilla,240,240,111,2,2,,35,642.5,17.2,captivity,large,acceptable,307.85
2369,Animalia,Chordata,Mammalia,Chiroptera,Little golden-mantled flying fox,,,,,2,,,200,17.2,captivity,medium,acceptable,309.25
1242,Animalia,Chordata,Aves,Passeriformes,Regent bowerbird,1454,,,,,,,100,17.2,wild,medium,acceptable,
1419,Animalia,Chordata,Aves,Piciformes,Acorn woodpecker,694,766,14,4,2,,4.7,79.7,17.2,wild,medium,acceptable,
498,Animalia,Chordata,Aves,Charadriiformes,Fairy tern,,,,,,,,72.15,17.2,wild,medium,acceptable,
2028,Animalia,Chordata,Mammalia,Artiodactyla,Red brocket,395,365,225,1.3,1,,538.5,33000,17.1,captivity,medium,acceptable,
3493,Animalia,Chordata,Reptilia,Squamata,Santa Fe land iguana,,,,,,,,4200,17.1,captivity,small,acceptable,
245,Animalia,Chordata,Aves,Accipitriformes,Northern harrier,365,365,31,4.4,1,,23.8,392,17.1,wild,medium,acceptable,
2782,Animalia,Chordata,Mammalia,Primates,Senegal galago,240,300,126,1.5,2,225,12.2,192.2,17.1,captivity,medium,acceptable,311.05
2312,Animalia,Chordata,Mammalia,Cetacea,Pygmy sperm whale,,,335,1,1,,82000,424600,17,wild,medium,acceptable,
2061,Animalia,Chordata,Mammalia,Artiodactyla,Javan pig,274,,120,6,,,1000,76000,17,captivity,small,acceptable,
1895,Animalia,Chordata,Mammalia,Artiodactyla,Pronghorn,547,547,235,2,1,365,3000,46100,17,captivity,medium,acceptable,311.15
2085,Animalia,Chordata,Mammalia,Carnivora,African wild dog,639,639,72,8,1,362,318,26500,17,captivity,large,high,
1820,Animalia,Chordata,Chondrichthyes,Rajiformes,Alaska skate,3650,2920,,,,365,,10010,17,wild,medium,acceptable,
4561,Animalia,Chordata,Teleostei,Siluriformes,African catfish,1642,1642,,,,,,6875,17,captivity,small,acceptable,
3327,Animalia,Chordata,Reptilia,Squamata,"Gold-ringed cat snake, or Mangrove snake",,,,,,,,6107,17,captivity,medium,acceptable,
2132,Animalia,Chordata,Mammalia,Carnivora,Leopard cat,365,,62,2.5,,163,96,5000,17,captivity,medium,acceptable,
2087,Animalia,Chordata,Mammalia,Carnivora,Bat-eared fox,365,,68,4,2,182,122,4150,17,captivity,medium,acceptable,
2559,Animalia,Chordata,Mammalia,Diprotodontia,"Common spotted cuscus, or Spotted cuscus",222,243,13,2,,365,,3500,17,captivity,tiny,acceptable,307.85
3353,Animalia,Chordata,Reptilia,Squamata,Eastern fox snake,,,,,,,,2227,17,captivity,medium,acceptable,
4356,Animalia,Chordata,Teleostei,Perciformes,Atlantic mackerel,784,784,,,,,,1870,17,wild,medium,acceptable,
4472,Animalia,Chordata,Teleostei,Salmoniformes,Mountain whitefish,,,,,,,,1606,17,wild,medium,acceptable,
4388,Animalia,Chordata,Teleostei,Perciformes,Knobbed porgy,,,,,,,,1446.5,17,wild,medium,acceptable,
3589,Animalia,Chordata,Reptilia,Squamata,Desert monitor,1644,1278,,,,,,821.1,17,captivity,small,acceptable,
1470,Animalia,Chordata,Aves,Procellariiformes,Black petrel,2557,,,,,,,702.5,17,wild,medium,acceptable,
267,Animalia,Chordata,Aves,Accipitriformes,Square-tailed kite,,,,,,,,585.5,17,wild,medium,acceptable,
449,Animalia,Chordata,Aves,Charadriiformes,American oystercatcher,1095,1095,27,2,1,,37.3,565,17,wild,small,acceptable,
238,Animalia,Chordata,Aves,Accipitriformes,Hawaiian hawk,1096,,38,1,,,35,505,17,wild,medium,acceptable,
275,Animalia,Chordata,Aves,Accipitriformes,Snail kite,365,365,30,3,2,,29.3,352.5,17,wild,tiny,acceptable,
3118,Animalia,Chordata,Mammalia,Rodentia,Pallas's squirrel,,,48,1.9,2,,,272,17,captivity,small,acceptable,
442,Animalia,Chordata,Aves,Charadriiformes,Spur-winged lapwing,,,,,,,,188,17,wild,medium,acceptable,
655,Animalia,Chordata,Aves,Falconiformes,American kestrel,365,365,29,4.6,1.5,,9,117,17,captivity,medium,acceptable,
3519,Animalia,Chordata,Reptilia,Squamata,Jeweled lizard,912,912,,,,,,99.625,17,unknown,medium,acceptable,
1037,Animalia,Chordata,Aves,Passeriformes,Pearly-eyed thrasher,,,,,,,,98.6,17,wild,medium,acceptable,
1303,Animalia,Chordata,Aves,Passeriformes,American robin,365,365,13,3,2,,5.5,75.5,17,unknown,medium,acceptable,
898,Animalia,Chordata,Aves,Passeriformes,Evening grosbeak,363,,13,3,1.5,,,54.9,17,unknown,medium,acceptable,
762,Animalia,Chordata,Aves,Passeriformes,Seychelles warbler,,,,,,,,15.9,17,wild,medium,acceptable,
2340,Animalia,Chordata,Mammalia,Chiroptera,Seba's short-tailed bat,258,258,95,1,2,159,5,15,17,captivity,large,high,309.55
1278,Animalia,Chordata,Aves,Passeriformes,Purple honeycreeper,,,,,,,,12,17,captivity,medium,acceptable,
2345,Animalia,Chordata,Mammalia,Chiroptera,California leaf-nosed bat,120,365,270,1,,,2.52,11.6,17,captivity,small,acceptable,308.15
2525,Animalia,Chordata,Mammalia,Diprotodontia,Agile wallaby,365,425,29,1,1.8,220,0.634,16000,16.9,captivity,medium,acceptable,
562,Animalia,Chordata,Aves,Charadriiformes,Terek sandpiper,,,,,,,,78.8,16.9,wild,medium,acceptable,
1261,Animalia,Chordata,Aves,Passeriformes,Hildebrandt's starling,,,,,,,,55.8,16.9,captivity,small,acceptable,
954,Animalia,Chordata,Aves,Passeriformes,Brown-headed cowbird,365,365,11,,1,,2.22,38.1,16.9,wild,medium,acceptable,
761,Animalia,Chordata,Aves,Passeriformes,Eurasian reed-warbler,365,365,,,,,,12.3,16.9,wild,large,acceptable,
1977,Animalia,Chordata,Mammalia,Artiodactyla,Argali,403,823,170,1,1,365,3400,160000,16.8,captivity,small,acceptable,
1988,Animalia,Chordata,Mammalia,Artiodactyla,Southern reedbuck,,,224,1,,376,4500,58000,16.8,captivity,small,acceptable,
2078,Animalia,Chordata,Mammalia,Carnivora,Maned wolf,730,,64,3,,,368,21500,16.8,captivity,medium,acceptable,
2550,Animalia,Chordata,Mammalia,Diprotodontia,Swamp wallaby,426,426,36,1,1.4,243,0.61,14625,16.8,captivity,medium,acceptable,
3349,Animalia,Chordata,Reptilia,Squamata,Japanese four-lined ratsnake,1460,1460,,,,,,6561,16.8,captivity,tiny,acceptable,
262,Animalia,Chordata,Aves,Accipitriformes,Harpy eagle,1817,,,,,,,4800,16.8,captivity,medium,acceptable,
349,Animalia,Chordata,Aves,Anseriformes,Black scoter,730,730,29,9,1,,43.2,1052.2,16.8,wild,medium,acceptable,
820,Animalia,Chordata,Aves,Passeriformes,Hooded crow,911,1095,,,,,,544.5,16.8,captivity,small,acceptable,
1607,Animalia,Chordata,Aves,Psittaciformes,Pileated parrot,,,,,,,,119,16.8,captivity,tiny,acceptable,
1341,Animalia,Chordata,Aves,Passeriformes,Puerto rican vireo,,,,,,,,12,16.8,wild,medium,acceptable,
2076,Animalia,Chordata,Mammalia,Carnivora,Black-backed jackal,309,251,60,4,1,274,159,10250,16.7,captivity,medium,acceptable,311.15
3449,Animalia,Chordata,Reptilia,Squamata,Mozambique spitting cobra,,,,,,,,8787,16.7,captivity,small,acceptable,
2068,Animalia,Chordata,Mammalia,Artiodactyla,Greater mouse-deer,137,135,153,1,1,152,373,6500,16.7,captivity,medium,acceptable,
2971,Animalia,Chordata,Mammalia,Rodentia,Mexican hairy dwarf porcupine,,,,1,,,,2000,16.7,captivity,small,acceptable,
3743,Animalia,Chordata,Reptilia,Testudines,Thick-necked turtle,,,,,,,,940,16.7,captivity,medium,acceptable,
2368,Animalia,Chordata,Mammalia,Chiroptera,Bonin flying fox,,,,1,,,,321.49,16.7,captivity,small,acceptable,
818,Animalia,Chordata,Aves,Passeriformes,Northwestern crow,730,730,18,4,1,,13.5,294,16.7,wild,small,acceptable,
606,Animalia,Chordata,Aves,Columbiformes,Spotted dove,,,15,2,,,6.4,159,16.7,wild,medium,acceptable,
405,Animalia,Chordata,Aves,Casuariiformes,Emu,727,,,,,,,38925,16.6,captivity,large,acceptable,
2086,Animalia,Chordata,Mammalia,Carnivora,Raccoon dog,304,304,61,6,1,365,75,6500,16.6,captivity,medium,acceptable,311.15
2150,Animalia,Chordata,Mammalia,Carnivora,Javan mongoose,301,122,49,2,2,151,25.92,800,16.6,captivity,small,acceptable,312.95
1478,Animalia,Chordata,Aves,Procellariiformes,Providence petrel,,,,,,,,471,16.6,wild,tiny,acceptable,
3311,Animalia,Chordata,Reptilia,Squamata,Pacific ground boa,,,,,,,,384,16.6,captivity,medium,acceptable,
2781,Animalia,Chordata,Mammalia,Primates,South African galago,146,372,124,1.4,2,182,12.3,169.2,16.6,captivity,medium,acceptable,
2425,Animalia,Chordata,Mammalia,Chiroptera,Common pipistrelle,456,456,42,1.2,1,365,1.125,5,16.6,wild,medium,acceptable,
2692,Animalia,Chordata,Mammalia,Primates,Silvery marmoset,304,334,144,2,3.2,213,35.1,343.2,16.5,captivity,medium,acceptable,
1086,Animalia,Chordata,Aves,Passeriformes,Chowchilla,,,,,,,,145.1,16.5,wild,small,acceptable,
1468,Animalia,Chordata,Aves,Procellariiformes,Fairy prion,1461,,,,,,,138.05,16.5,wild,small,acceptable,
967,Animalia,Chordata,Aves,Passeriformes,Bengal jungle babbler,,,,,,,,66,16.5,captivity,small,acceptable,
3419,Animalia,Chordata,Reptilia,Squamata,Knight anole,,,,,,,,56,16.5,captivity,medium,acceptable,
2401,Animalia,Chordata,Mammalia,Chiroptera,Gray myotis,456,456,,1,1,365,2.9,9.25,16.5,wild,medium,acceptable,
1704,Animalia,Chordata,Aves,Suliformes,Anhinga,730,730,28,4,,,,1080,16.4,captivity,tiny,acceptable,
816,Animalia,Chordata,Aves,Passeriformes,Little crow,,,,,,,,396.25,16.4,wild,small,acceptable,
1949,Animalia,Chordata,Mammalia,Artiodactyla,Goitered gazelle,646,746,175,1.3,1,,2625,48500,16.3,captivity,large,high,312.65
2940,Animalia,Chordata,Mammalia,Rodentia,Lowland paca,365,365,116,1,1.5,191,680,9000,16.3,captivity,small,acceptable,310.35
2095,Animalia,Chordata,Mammalia,Carnivora,Arctic fox,304,304,52,9,1,365,70,5200,16.3,captivity,medium,acceptable,311.75
2947,Animalia,Chordata,Mammalia,Rodentia,Black-rumped agouti,,,,1.5,,,,2900,16.3,captivity,small,acceptable,
2101,Animalia,Chordata,Mammalia,Carnivora,Fennec,274,274,51,2.2,1,365,26.28,1250,16.3,captivity,medium,acceptable,311.95
599,Animalia,Chordata,Aves,Columbiformes,Wonga pigeon,,,,,,,,429,16.3,captivity,tiny,acceptable,
247,Animalia,Chordata,Aves,Accipitriformes,Montagu's harrier,730,730,,,,,,315.5,16.3,wild,medium,acceptable,
2836,Animalia,Chordata,Mammalia,Primates,Western tarsier,920,,178,1,1.5,270,24.6,122.5,16.3,captivity,small,acceptable,
2058,Animalia,Chordata,Mammalia,Artiodactyla,Bearded pig,362,,122,4,1,,,102750,16.2,captivity,medium,acceptable,
2089,Animalia,Chordata,Mammalia,Carnivora,Gray fox,345,365,57,4,1,365,95,4750,16.2,captivity,medium,acceptable,
2438,Animalia,Chordata,Mammalia,Cingulata,Screaming hairy armadillo,,,,,,,,840,16.2,captivity,small,acceptable,307.55
1432,Animalia,Chordata,Aves,Piciformes,Toco toucan,,,16,,,,,540,16.2,captivity,medium,acceptable,
3729,Animalia,Chordata,Reptilia,Testudines,Japanese pond turtle,,,,,,,,494.2,16.2,captivity,small,acceptable,
1699,Animalia,Chordata,Aves,Strigiformes,Northern hawk-owl,363,,27,7,1,,18,320,16.2,wild,medium,acceptable,
1608,Animalia,Chordata,Aves,Psittaciformes,Scaly-headed parrot,,,,,,,,293,16.2,captivity,medium,acceptable,
415,Animalia,Chordata,Aves,Charadriiformes,Cassin's auklet,730,730,,,,,,184,16.2,wild,medium,acceptable,
439,Animalia,Chordata,Aves,Charadriiformes,Hooded dotterel,,,,,,,,100,16.2,wild,large,acceptable,
1526,Animalia,Chordata,Aves,Psittaciformes,Orange-fronted parakeet,,,,,,,,85,16.2,captivity,small,acceptable,
3469,Animalia,Chordata,Reptilia,Squamata,African fat-tailed gecko,,,,,,,,39.17,16.2,captivity,medium,acceptable,
2079,Animalia,Chordata,Mammalia,Carnivora,Dhole,365,365,61,5,1,365,275,15750,16.1,captivity,medium,acceptable,
2256,Animalia,Chordata,Mammalia,Carnivora,Small-toothed palm civet,1095,,45,2.5,2,182,,2250,16.1,captivity,small,acceptable,309.35
3580,Animalia,Chordata,Reptilia,Squamata,Columbian tegu,,,,,,,,1773.51,16.1,captivity,medium,acceptable,
1695,Animalia,Chordata,Aves,Strigiformes,Great grey owl,365,365,30,2,1,,37.5,1120,16.1,wild,medium,acceptable,
3744,Animalia,Chordata,Reptilia,Testudines,Narrow-bridged musk turtle,,,,,,,,200,16.1,captivity,small,acceptable,
3652,Animalia,Chordata,Reptilia,Squamata,Pigmy rattlesnake,,,,,,,,196,16.1,captivity,medium,acceptable,
830,Animalia,Chordata,Aves,Passeriformes,Steller's jay,365,365,16,4,1,,,99.1,16.1,wild,medium,acceptable,
1421,Animalia,Chordata,Aves,Piciformes,Red-cockaded woodpecker,240,240,11,3,1,,3.2,56,16.1,wild,medium,acceptable,
372,Animalia,Chordata,Aves,Apodiformes,Black swift,365,365,24,1,1,,3.3,45,16.1,wild,medium,acceptable,
905,Animalia,Chordata,Aves,Passeriformes,Red crossbill,365,365,13,3,2,,,39.5,16.1,wild,small,acceptable,
4460,Animalia,Chordata,Teleostei,Salmoniformes,Taimen,,,,,,,,38500,16,wild,medium,acceptable,
1779,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Gummy shark,2336,1715,,16,,365,,16940,16,wild,medium,acceptable,
4374,Animalia,Chordata,Teleostei,Perciformes,Nassau grouper,,,,,,,,13750,16,wild,medium,acceptable,
4569,Animalia,Chordata,Teleostei,Siluriformes,Channel catfish,,,,,,,,13732.5,16,wild,medium,acceptable,
4315,Animalia,Chordata,Teleostei,Perciformes,Zander,1338,1338,,,,,,11000,16,wild,medium,acceptable,
4167,Animalia,Chordata,Teleostei,Perciformes,Silver gemfish,1825,1460,,,,,,8800,16,wild,medium,acceptable,
1808,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Longheaded eagle ray,2190,,,3.5,,365,,7645,16,wild,medium,acceptable,
1781,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Dusky smooth-hound,1606,748,,9.5,,365,,6710,16,wild,medium,acceptable,
4254,Animalia,Chordata,Teleostei,Perciformes,Marbled rockcod,,,,,,,,5500,16,wild,medium,acceptable,
1844,Animalia,Chordata,Chondrichthyes,Rhinobatiformes,Shovelnose guitarfish,2555,2920,,9,,365,,5362.5,16,wild,medium,acceptable,
